Year,StateAbbr,StateDesc,CityName,GeographicLevel,DataSource,Category,UniqueID,Measure,Data_Value_Unit,DataValueTypeID,Data_Value_Type,Data_Value,Low_Confidence_Limit,High_Confidence_Limit,Data_Value_Footnote_Symbol,Data_Value_Footnote,PopulationCount,GeoLocation,CategoryID,MeasureId,CityFIPS,TractFIPS,Short_Question_Text
2017,GA,Georgia,Savannah,Census Tract,BRFSS,Health Outcomes,1369000-13051004500,Arthritis among adults aged >=18 Years,%,CrdPrv,Crude prevalence,29.8,28.3,31.3,,,4051,"(32.0493847993, -81.1310587769)",HLTHOUT,ARTHRITIS,1369000,13051004500,Arthritis
2017,HI,Hawaii,Honolulu,Census Tract,BRFSS,Health Outcomes,15003008617,Arthritis among adults aged >=18 Years,%,CrdPrv,Crude prevalence,17.9,17.4,18.4,,,9364,"(21.3455068807, -158.035500353)",HLTHOUT,ARTHRITIS,15003,15003008617,Arthritis
2017,HI,Hawaii,Honolulu,Census Tract,BRFSS,Health Outcomes,15003002004,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,12.1,11.1,13.1,,,1398,"(21.2789728993, -157.825067387)",HLTHOUT,PHLTH,15003,15003002004,Physical Health
2017,HI,Hawaii,Honolulu,Census Tract,BRFSS,Health Outcomes,15003008922,Stroke among adults aged >=18 Years,%,CrdPrv,Crude prevalence,1.8,1.7,2,,,7479,"(21.4060802931, -158.007614324)",HLTHOUT,STROKE,15003,15003008922,Stroke
2017,HI,Hawaii,Honolulu,Census Tract,BRFSS,Prevention,15003008913,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,%,CrdPrv,Crude prevalence,78.1,77.3,78.9,,,4116,"(21.3845303921, -158.024927811)",PREVENT,BPMED,15003,15003008913,Taking BP Medication
2017,GA,Georgia,Roswell,Census Tract,BRFSS,Health Outcomes,1367284-13121011611,Cancer (excluding skin cancer) among adults aged >=18 Years,%,CrdPrv,Crude prevalence,3.9,3.7,4,,,2562,"(34.0588038236, -84.3193729476)",HLTHOUT,CANCER,1367284,13121011611,Cancer (except skin)
2016,GA,Georgia,Sandy Springs,Census Tract,BRFSS,Health Outcomes,1368516-13121010114,All teeth lost among adults aged >=65 Years,%,CrdPrv,Crude prevalence,11.4,6.9,16.9,,,5946,"(33.8902362582, -84.3731348097)",HLTHOUT,TEETHLOST,1368516,13121010114,Teeth Loss
2017,GA,Georgia,Augusta,Census Tract,BRFSS,Health Outcomes,1304204-13245010710,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,17.5,16.5,18.5,,,5932,"(33.362546791, -82.0591288669)",HLTHOUT,PHLTH,1304204,13245010710,Physical Health
2017,ID,Idaho,Boise City,Census Tract,BRFSS,Health Outcomes,1608830-16001010313,High blood pressure among adults aged >=18 Years,%,CrdPrv,Crude prevalence,24.9,23.5,26.4,,,910,"(43.5881337971, -116.33695668)",HLTHOUT,BPHIGH,1608830,16001010313,High Blood Pressure
2016,GA,Georgia,Warner Robins,Census Tract,BRFSS,Prevention,1380508-13153021103,Papanicolaou smear use among adult women aged 21–65 Years,%,CrdPrv,Crude prevalence,84.6,82.2,86.6,,,917,"(32.5512701449, -83.6079695192)",PREVENT,PAPTEST,1380508,13153021103,Pap Smear Test
2017,GA,Georgia,Augusta,Census Tract,BRFSS,Health Outcomes,1304204-13245010105,Mental health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,12,10.8,13.4,,,5000,"(33.506365784, -82.0700817153)",HLTHOUT,MHLTH,1304204,13245010105,Mental Health
2017,GA,Georgia,Macon,Census Tract,BRFSS,Health Outcomes,1349000-13021013900,Coronary heart disease among adults aged >=18 Years,%,CrdPrv,Crude prevalence,9.3,8.6,10,,,1092,"(32.7979371311, -83.6217056826)",HLTHOUT,CHD,1349000,13021013900,Coronary Heart Disease
2017,ID,Idaho,Boise City,Census Tract,BRFSS,Prevention,1608830-16001000804,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,%,CrdPrv,Crude prevalence,66.6,65,68.2,,,5604,"(43.5917744712, -116.180835276)",PREVENT,BPMED,1608830,16001000804,Taking BP Medication
2017,HI,Hawaii,Honolulu,Census Tract,BRFSS,Health Outcomes,15003009801,Coronary heart disease among adults aged >=18 Years,%,CrdPrv,Crude prevalence,6.1,5.8,6.5,,,2834,"(21.5111008632, -158.202788131)",HLTHOUT,CHD,15003,15003009801,Coronary Heart Disease
2017,GA,Georgia,Johns Creek,Census Tract,BRFSS,Health Outcomes,1342425-13121011425,Coronary heart disease among adults aged >=18 Years,%,CrdPrv,Crude prevalence,3.9,3.5,4.5,,,6906,"(34.013011213, -84.2405514785)",HLTHOUT,CHD,1342425,13121011425,Coronary Heart Disease
2016,GA,Georgia,Macon,Census Tract,BRFSS,Prevention,1349000-13021012700,"Older adult men aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening",%,CrdPrv,Crude prevalence,19,14.7,24.3,,,2184,"(32.8102467713, -83.6504293354)",PREVENT,COREM,1349000,13021012700,Core preventive services for older men
2016,GA,Georgia,Roswell,Census Tract,BRFSS,Prevention,1367284-13121011505,Mammography use among women aged 50–74 Years,%,CrdPrv,Crude prevalence,82.3,78.6,84.9,,,4190,"(34.0790363341, -84.3710054671)",PREVENT,MAMMOUSE,1367284,13121011505,Mammography
2017,GA,Georgia,Savannah,Census Tract,BRFSS,Unhealthy Behaviors,1369000-13051003501,Obesity among adults aged >=18 Years,%,CrdPrv,Crude prevalence,44,42.2,45.5,,,2744,"(32.0347575995, -81.084176683)",UNHBEH,OBESITY,1369000,13051003501,Obesity
2017,HI,Hawaii,Honolulu,Census Tract,BRFSS,Prevention,15003940001,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,%,CrdPrv,Crude prevalence,71.6,70.8,72.5,,,4551,"(21.3264113297, -157.693246159)",PREVENT,BPMED,15003,15003940001,Taking BP Medication
2017,HI,Hawaii,Honolulu,Census Tract,BRFSS,Unhealthy Behaviors,15003004200,Binge drinking among adults aged >=18 Years,%,CrdPrv,Crude prevalence,18.5,18.2,18.8,,,3432,"(21.3130661889, -157.856524456)",UNHBEH,BINGE,15003,15003004200,Binge Drinking
2017,GA,Georgia,Warner Robins,Census Tract,BRFSS,Health Outcomes,1380508-13153021000,Arthritis among adults aged >=18 Years,%,CrdPrv,Crude prevalence,25.9,24.8,26.9,,,6031,"(32.6031534696, -83.6460434624)",HLTHOUT,ARTHRITIS,1380508,13153021000,Arthritis
2017,GA,Georgia,Johns Creek,Census Tract,BRFSS,Health Outcomes,1342425-13121011625,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,%,CrdPrv,Crude prevalence,29,28.3,29.8,,,7755,"(34.028569552, -84.1980094109)",HLTHOUT,HIGHCHOL,1342425,13121011625,High Cholesterol
2017,HI,Hawaii,Honolulu,Census Tract,BRFSS,Prevention,15003009507,Visits to doctor for routine checkup within the past Year among adults aged >=18 Years,%,CrdPrv,Crude prevalence,60,58.2,61.7,,,2560,"(21.5017198457, -158.063936209)",PREVENT,CHECKUP,15003,15003009507,Annual Checkup
2016,GA,Georgia,Columbus,Census Tract,BRFSS,Unhealthy Behaviors,1319000-13215002400,Sleeping less than 7 hours among adults aged >=18 Years,%,CrdPrv,Crude prevalence,51.1,49.5,52.7,,,1581,"(32.4610038659, -84.9710496778)",UNHBEH,SLEEP,1319000,13215002400,Sleep <7 hours
2017,HI,Hawaii,Honolulu,Census Tract,BRFSS,Health Outcomes,15003010202,Stroke among adults aged >=18 Years,%,CrdPrv,Crude prevalence,1.8,1.7,1.9,,,7643,"(21.6251162779, -157.941809249)",HLTHOUT,STROKE,15003,15003010202,Stroke
2017,GA,Georgia,Augusta,Census Tract,BRFSS,Health Outcomes,1304204-13245010512,Chronic kidney disease among adults aged >=18 Years,%,CrdPrv,Crude prevalence,4.1,3.8,4.4,,,4719,"(33.4214811567, -82.0743934499)",HLTHOUT,KIDNEY,1304204,13245010512,Chronic Kidney Disease
2016,GA,Georgia,Macon,Census Tract,BRFSS,Health Outcomes,1349000-13021012500,All teeth lost among adults aged >=65 Years,%,CrdPrv,Crude prevalence,43.7,33.5,53.2,,,3428,"(32.8232214555, -83.6815694639)",HLTHOUT,TEETHLOST,1349000,13021012500,Teeth Loss
2017,HI,Hawaii,Honolulu,Census Tract,BRFSS,Unhealthy Behaviors,15003940001,Binge drinking among adults aged >=18 Years,%,CrdPrv,Crude prevalence,21.8,21.3,22.3,,,4551,"(21.3264113297, -157.693246159)",UNHBEH,BINGE,15003,15003940001,Binge Drinking
2017,GA,Georgia,Augusta,Census Tract,BRFSS,Unhealthy Behaviors,1304204-13245010708,No leisure-time physical activity among adults aged >=18 Years,%,CrdPrv,Crude prevalence,34.9,32.4,37.5,,,5599,"(33.3916088846, -82.08105773)",UNHBEH,LPA,1304204,13245010708,Physical Inactivity
2016,HI,Hawaii,Honolulu,Census Tract,BRFSS,Prevention,15003009802,Visits to dentist or dental clinic among adults aged >=18 Years,%,CrdPrv,Crude prevalence,55.3,53,57.7,,,6386,"(21.4678190627, -158.209541749)",PREVENT,DENTAL,15003,15003009802,Dental Visit
2016,HI,Hawaii,Honolulu,Census Tract,BRFSS,Unhealthy Behaviors,15003008611,Sleeping less than 7 hours among adults aged >=18 Years,%,CrdPrv,Crude prevalence,41.4,39.9,43,,,84,"(21.3586380343, -158.112464999)",UNHBEH,SLEEP,15003,15003008611,Sleep <7 hours
2017,ID,Idaho,Boise City,Census Tract,BRFSS,Health Outcomes,1608830-16001000400,High blood pressure among adults aged >=18 Years,%,CrdPrv,Crude prevalence,23.5,22.6,24.3,,,5936,"(43.6350889572, -116.234584622)",HLTHOUT,BPHIGH,1608830,16001000400,High Blood Pressure
2017,GA,Georgia,Macon,Census Tract,BRFSS,Health Outcomes,1349000-13021013410,Mental health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,8.5,7.4,9.8,,,517,"(32.869978531, -83.7254616418)",HLTHOUT,MHLTH,1349000,13021013410,Mental Health
2017,HI,Hawaii,Honolulu,Census Tract,BRFSS,Health Outcomes,15003005300,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,%,CrdPrv,Crude prevalence,41.6,40.5,42.8,,,3636,"(21.3176030175, -157.861407148)",HLTHOUT,HIGHCHOL,15003,15003005300,High Cholesterol
2017,HI,Hawaii,Honolulu,Census Tract,BRFSS,Unhealthy Behaviors,15003008907,Binge drinking among adults aged >=18 Years,%,CrdPrv,Crude prevalence,19.4,19,19.8,,,4232,"(21.458271796, -158.011809201)",UNHBEH,BINGE,15003,15003008907,Binge Drinking
2016,ID,Idaho,Boise City,Census Tract,BRFSS,Prevention,1608830-16001000303,Papanicolaou smear use among adult women aged 21–65 Years,%,CrdPrv,Crude prevalence,79.3,75.5,82.5,,,1214,"(43.649374338, -116.255949175)",PREVENT,PAPTEST,1608830,16001000303,Pap Smear Test
2017,HI,Hawaii,Honolulu,Census Tract,BRFSS,Health Outcomes,15003007805,High blood pressure among adults aged >=18 Years,%,CrdPrv,Crude prevalence,30.2,29.4,31,,,5136,"(21.3968788861, -157.952963054)",HLTHOUT,BPHIGH,15003,15003007805,High Blood Pressure
2016,HI,Hawaii,Honolulu,Census Tract,BRFSS,Prevention,15003007807,Papanicolaou smear use among adult women aged 21–65 Years,%,CrdPrv,Crude prevalence,81.8,79.7,83.7,,,5405,"(21.3868794968, -157.940078822)",PREVENT,PAPTEST,15003,15003007807,Pap Smear Test
2017,GA,Georgia,Savannah,Census Tract,BRFSS,Health Outcomes,1369000-13051001500,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,12.2,11,13.6,,,1160,"(32.0666817133, -81.0930321379)",HLTHOUT,PHLTH,1369000,13051001500,Physical Health
2016,HI,Hawaii,Honolulu,Census Tract,BRFSS,Prevention,15003002402,"Older adult women aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 Years",%,CrdPrv,Crude prevalence,26.6,21.8,30.9,,,3228,"(21.2921687851, -157.827558706)",PREVENT,COREW,15003,15003002402,Core preventive services for older women
2017,GA,Georgia,Columbus,Census Tract,BRFSS,Prevention,1319000-13215010606,Cholesterol screening among adults aged >=18 Years,%,CrdPrv,Crude prevalence,75.2,72.7,77.6,,,1834,"(32.496749783, -84.8645628092)",PREVENT,CHOLSCREEN,1319000,13215010606,Cholesterol Screening
2017,ID,Idaho,Boise City,Census Tract,BRFSS,Health Outcomes,1608830-16001000803,Coronary heart disease among adults aged >=18 Years,%,CrdPrv,Crude prevalence,4.3,3.8,4.9,,,4354,"(43.569030973, -116.161988214)",HLTHOUT,CHD,1608830,16001000803,Coronary Heart Disease
2017,ID,Idaho,Boise City,Census Tract,BRFSS,Unhealthy Behaviors,1608830-16001002411,Binge drinking among adults aged >=18 Years,%,CrdPrv,Crude prevalence,16.5,15.8,17.1,,,5269,"(43.6412002799, -116.30424218)",UNHBEH,BINGE,1608830,16001002411,Binge Drinking
2017,GA,Georgia,Johns Creek,Census Tract,BRFSS,Health Outcomes,1342425-13121011624,Chronic kidney disease among adults aged >=18 Years,%,CrdPrv,Crude prevalence,1.8,1.7,2,,,4268,"(34.0751510073, -84.1916055411)",HLTHOUT,KIDNEY,1342425,13121011624,Chronic Kidney Disease
2017,GA,Georgia,Sandy Springs,Census Tract,BRFSS,Unhealthy Behaviors,1368516-13121010123,Binge drinking among adults aged >=18 Years,%,CrdPrv,Crude prevalence,18.8,18.3,19.3,,,4017,"(33.9441388328, -84.3647095954)",UNHBEH,BINGE,1368516,13121010123,Binge Drinking
2017,GA,Georgia,Roswell,Census Tract,BRFSS,Health Outcomes,1367284-13121011505,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,8,6.9,9.5,,,4190,"(34.0790363341, -84.3710054671)",HLTHOUT,PHLTH,1367284,13121011505,Physical Health
2017,GA,Georgia,Johns Creek,Census Tract,BRFSS,Health Outcomes,1342425-13121011427,Coronary heart disease among adults aged >=18 Years,%,CrdPrv,Crude prevalence,4,3.6,4.4,,,3609,"(34.028512183, -84.2636292336)",HLTHOUT,CHD,1342425,13121011427,Coronary Heart Disease
2016,HI,Hawaii,Honolulu,Census Tract,BRFSS,Health Outcomes,15003008406,All teeth lost among adults aged >=65 Years,%,CrdPrv,Crude prevalence,4.8,3.6,6.5,,,5997,"(21.3303618467, -158.012608884)",HLTHOUT,TEETHLOST,15003,15003008406,Teeth Loss
2016,ID,Idaho,Meridian,City,BRFSS,Prevention,1652120,"Older adult men aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening",%,AgeAdjPrv,Age-adjusted prevalence,40.5,37.7,43.2,,,75092,"(43.6185195383, -116.39758487)",PREVENT,COREM,1652120,,Core preventive services for older men
2016,GA,Georgia,Savannah,Census Tract,BRFSS,Health Outcomes,1369000-13051002900,All teeth lost among adults aged >=65 Years,%,CrdPrv,Crude prevalence,7.4,4.4,11.9,,,2986,"(32.0448983055, -81.0989529822)",HLTHOUT,TEETHLOST,1369000,13051002900,Teeth Loss
2017,CA,California,Riverside,Census Tract,BRFSS,Health Outcomes,0662000-06065041302,Stroke among adults aged >=18 Years,%,CrdPrv,Crude prevalence,2.8,2.6,3,,,4303,"(33.9207823406, -117.476972807)",HLTHOUT,STROKE,662000,6065041302,Stroke
2016,HI,Hawaii,Honolulu,Census Tract,BRFSS,Prevention,15003003604,"Older adult men aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening",%,CrdPrv,Crude prevalence,31.3,26.9,35.8,,,2519,"(21.2930027811, -157.839140572)",PREVENT,COREM,15003,15003003604,Core preventive services for older men
2017,GA,Georgia,Augusta,Census Tract,BRFSS,Health Outcomes,1304204-13245010511,Coronary heart disease among adults aged >=18 Years,%,CrdPrv,Crude prevalence,8.1,7.5,8.7,,,3380,"(33.397795001, -82.0045928024)",HLTHOUT,CHD,1304204,13245010511,Coronary Heart Disease
2017,GA,Georgia,Savannah,Census Tract,BRFSS,Health Outcomes,1369000-13051010809,Cancer (excluding skin cancer) among adults aged >=18 Years,%,CrdPrv,Crude prevalence,,,,*,Estimates suppressed for population less than 50,27,"(32.0551552761, -81.2248346521)",HLTHOUT,CANCER,1369000,13051010809,Cancer (except skin)
2017,GA,Georgia,Savannah,Census Tract,BRFSS,Health Outcomes,1369000-13051980000,Chronic obstructive pulmonary disease among adults aged >=18 Years,%,CrdPrv,Crude prevalence,,,,*,Estimates suppressed for population less than 50,2,"(32.0908984911, -81.1033577135)",HLTHOUT,COPD,1369000,13051980000,COPD
2017,HI,Hawaii,Honolulu,Census Tract,BRFSS,Health Outcomes,15003003900,Chronic obstructive pulmonary disease among adults aged >=18 Years,%,CrdPrv,Crude prevalence,4.9,4.3,5.6,,,655,"(21.3026640114, -157.861860063)",HLTHOUT,COPD,15003,15003003900,COPD
2017,HI,Hawaii,Honolulu,Census Tract,BRFSS,Health Outcomes,15003001901,Diagnosed diabetes among adults aged >=18 Years,%,CrdPrv,Crude prevalence,12,11.2,12.9,,,837,"(21.2812438973, -157.834266837)",HLTHOUT,DIABETES,15003,15003001901,Diabetes
2017,HI,Hawaii,Honolulu,Census Tract,BRFSS,Unhealthy Behaviors,15003010901,No leisure-time physical activity among adults aged >=18 Years,%,CrdPrv,Crude prevalence,19.4,17.7,21.1,,,3140,"(21.4183482016, -157.755397871)",UNHBEH,LPA,15003,15003010901,Physical Inactivity
2016,ID,Idaho,Boise City,Census Tract,BRFSS,Health Outcomes,1608830-16001000304,All teeth lost among adults aged >=65 Years,%,CrdPrv,Crude prevalence,13.1,9,17.3,,,6328,"(43.6675318211, -116.264531816)",HLTHOUT,TEETHLOST,1608830,16001000304,Teeth Loss
2017,ID,Idaho,Boise City,Census Tract,BRFSS,Health Outcomes,1608830-16001001400,Chronic obstructive pulmonary disease among adults aged >=18 Years,%,CrdPrv,Crude prevalence,6.2,5.3,7.3,,,5382,"(43.5971911999, -116.243608913)",HLTHOUT,COPD,1608830,16001001400,COPD
2017,ID,Idaho,Boise City,Census Tract,BRFSS,Unhealthy Behaviors,1608830-16001010313,Current smoking among adults aged >=18 Years,%,CrdPrv,Crude prevalence,13.9,10.9,16.9,,,910,"(43.5881337971, -116.33695668)",UNHBEH,CSMOKING,1608830,16001010313,Current Smoking
2017,GA,Georgia,Warner Robins,Census Tract,BRFSS,Health Outcomes,1380508-13153021105,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,%,CrdPrv,Crude prevalence,26.3,25.6,27,,,5356,"(32.5865111548, -83.6298057257)",HLTHOUT,HIGHCHOL,1380508,13153021105,High Cholesterol
2017,HI,Hawaii,Honolulu,Census Tract,BRFSS,Health Outcomes,15003008003,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,11.7,11,12.4,,,4668,"(21.3999483177, -157.975430955)",HLTHOUT,PHLTH,15003,15003008003,Physical Health
2017,ID,Idaho,Boise City,Census Tract,BRFSS,Health Outcomes,1608830-16001002410,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,%,CrdPrv,Crude prevalence,33.1,32.1,34.2,,,6988,"(43.6460154009, -116.292915877)",HLTHOUT,HIGHCHOL,1608830,16001002410,High Cholesterol
2017,HI,Hawaii,Honolulu,Census Tract,BRFSS,Prevention,15003007503,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,7.7,6.6,8.9,,,5160,"(21.3791480598, -157.916007307)",PREVENT,ACCESS2,15003,15003007503,Health Insurance
2017,HI,Hawaii,Honolulu,Census Tract,BRFSS,Health Outcomes,15003010305,Current asthma among adults aged >=18 Years,%,CrdPrv,Crude prevalence,10.3,10,10.6,,,5063,"(21.4477069877, -157.830627256)",HLTHOUT,CASTHMA,15003,15003010305,Current Asthma
2016,GA,Georgia,Augusta,Census Tract,BRFSS,Unhealthy Behaviors,1304204-13245010204,Sleeping less than 7 hours among adults aged >=18 Years,%,CrdPrv,Crude prevalence,41,39.6,42.2,,,13436,"(33.45947357, -82.1200317406)",UNHBEH,SLEEP,1304204,13245010204,Sleep <7 hours
2017,ID,Idaho,Nampa,City,BRFSS,Prevention,1656260,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,%,AgeAdjPrv,Age-adjusted prevalence,52.5,52.5,52.6,,,81557,"(43.5829315681, -116.564145085)",PREVENT,BPMED,1656260,,Taking BP Medication
2016,ID,Idaho,Boise City,Census Tract,BRFSS,Prevention,1608830-16001002412,"Older adult men aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening",%,CrdPrv,Crude prevalence,40.3,34.8,45.7,,,52,"(43.6683770194, -116.336748214)",PREVENT,COREM,1608830,16001002412,Core preventive services for older men
2016,GA,Georgia,Roswell,City,BRFSS,Health Outcomes,1367284,All teeth lost among adults aged >=65 Years,%,CrdPrv,Crude prevalence,8.3,7.1,9.5,,,88346,"(34.0391384583, -84.3512225277)",HLTHOUT,TEETHLOST,1367284,,Teeth Loss
2017,GA,Georgia,Roswell,Census Tract,BRFSS,Health Outcomes,1367284-13121011414,Diagnosed diabetes among adults aged >=18 Years,%,CrdPrv,Crude prevalence,5.6,5.2,6,,,4327,"(34.0007526915, -84.280599651)",HLTHOUT,DIABETES,1367284,13121011414,Diabetes
2016,GA,Georgia,Savannah,Census Tract,BRFSS,Prevention,1369000-13051001500,Mammography use among women aged 50–74 Years,%,CrdPrv,Crude prevalence,84.9,82.4,87,,,1160,"(32.0666817133, -81.0930321379)",PREVENT,MAMMOUSE,1369000,13051001500,Mammography
2017,HI,Hawaii,Honolulu,Census Tract,BRFSS,Health Outcomes,15003009608,Chronic obstructive pulmonary disease among adults aged >=18 Years,%,CrdPrv,Crude prevalence,5.7,5.3,6.2,,,5682,"(21.4373306191, -158.12916731)",HLTHOUT,COPD,15003,15003009608,COPD
2017,GA,Georgia,Warner Robins,Census Tract,BRFSS,Health Outcomes,1380508-13153020800,Coronary heart disease among adults aged >=18 Years,%,CrdPrv,Crude prevalence,3.9,3.7,4.1,,,2464,"(32.6107071723, -83.6111442954)",HLTHOUT,CHD,1380508,13153020800,Coronary Heart Disease
2017,GA,Georgia,Sandy Springs,Census Tract,BRFSS,Health Outcomes,1368516-13121010210,Stroke among adults aged >=18 Years,%,CrdPrv,Crude prevalence,1.8,1.7,2,,,5604,"(33.9532222931, -84.3802060273)",HLTHOUT,STROKE,1368516,13121010210,Stroke
2017,HI,Hawaii,Honolulu,Census Tract,BRFSS,Health Outcomes,15003010905,Stroke among adults aged >=18 Years,%,CrdPrv,Crude prevalence,3.3,3,3.6,,,2513,"(21.3993244766, -157.743914052)",HLTHOUT,STROKE,15003,15003010905,Stroke
2017,ID,Idaho,Boise City,Census Tract,BRFSS,Health Outcomes,1608830-16001010331,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,9,7.8,10.2,,,11733,"(43.6480588671, -116.346479346)",HLTHOUT,PHLTH,1608830,16001010331,Physical Health
2017,GA,Georgia,Augusta,Census Tract,BRFSS,Prevention,1304204-13245001300,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,26.6,23.1,29.9,,,1380,"(33.4616725822, -82.0069617394)",PREVENT,ACCESS2,1304204,13245001300,Health Insurance
2017,GA,Georgia,Columbus,Census Tract,BRFSS,Prevention,1319000-13215010501,Visits to doctor for routine checkup within the past Year among adults aged >=18 Years,%,CrdPrv,Crude prevalence,76.1,75.4,76.8,,,6399,"(32.5058906272, -84.9086364256)",PREVENT,CHECKUP,1319000,13215010501,Annual Checkup
2017,HI,Hawaii,Honolulu,Census Tract,BRFSS,Health Outcomes,15003007302,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,%,CrdPrv,Crude prevalence,18.3,17.7,18.9,,,3866,"(21.3396904521, -157.955993889)",HLTHOUT,HIGHCHOL,15003,15003007302,High Cholesterol
2017,GA,Georgia,Columbus,Census Tract,BRFSS,Prevention,1319000-13215002400,Visits to doctor for routine checkup within the past Year among adults aged >=18 Years,%,CrdPrv,Crude prevalence,79.7,78.6,80.7,,,1581,"(32.4610038659, -84.9710496778)",PREVENT,CHECKUP,1319000,13215002400,Annual Checkup
2017,GA,Georgia,Augusta,Census Tract,BRFSS,Unhealthy Behaviors,1304204-13245001601,Binge drinking among adults aged >=18 Years,%,CrdPrv,Crude prevalence,12.5,11.8,13.2,,,5107,"(33.468801016, -82.0531086072)",UNHBEH,BINGE,1304204,13245001601,Binge Drinking
2016,GA,Georgia,Savannah,Census Tract,BRFSS,Prevention,1369000-13051003501,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50–75 Years",%,CrdPrv,Crude prevalence,55.7,51.4,60.2,,,2744,"(32.0347575995, -81.084176683)",PREVENT,COLON_SCREEN,1369000,13051003501,Colorectal Cancer Screening
2017,HI,Hawaii,Honolulu,Census Tract,BRFSS,Health Outcomes,15003008702,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,%,CrdPrv,Crude prevalence,36.5,35.6,37.4,,,5593,"(21.3850707815, -158.005304393)",HLTHOUT,HIGHCHOL,15003,15003008702,High Cholesterol
2017,GA,Georgia,Macon,Census Tract,BRFSS,Health Outcomes,1349000-13021010800,Mental health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,12.3,10.5,14.4,,,1315,"(32.8443470122, -83.6359912706)",HLTHOUT,MHLTH,1349000,13021010800,Mental Health
2016,HI,Hawaii,Honolulu,Census Tract,BRFSS,Health Outcomes,15003003101,All teeth lost among adults aged >=65 Years,%,CrdPrv,Crude prevalence,3.7,2.3,5.8,,,3687,"(21.3258064243, -157.793873751)",HLTHOUT,TEETHLOST,15003,15003003101,Teeth Loss
2017,GA,Georgia,Columbus,Census Tract,BRFSS,Health Outcomes,1319000-13215001200,High blood pressure among adults aged >=18 Years,%,CrdPrv,Crude prevalence,29.3,28.4,30.1,,,3371,"(32.4810541493, -84.961980596)",HLTHOUT,BPHIGH,1319000,13215001200,High Blood Pressure
2017,GA,Georgia,Macon,Census Tract,BRFSS,Health Outcomes,1349000-13021013408,Chronic obstructive pulmonary disease among adults aged >=18 Years,%,CrdPrv,Crude prevalence,6.6,5.3,8.4,,,218,"(32.8820164436, -83.7213582264)",HLTHOUT,COPD,1349000,13021013408,COPD
2016,HI,Hawaii,Honolulu,Census Tract,BRFSS,Prevention,15003007504,Mammography use among women aged 50–74 Years,%,CrdPrv,Crude prevalence,79.3,77.3,81.1,,,3171,"(21.3699157938, -157.930755251)",PREVENT,MAMMOUSE,15003,15003007504,Mammography
2016,HI,Hawaii,Honolulu,Census Tract,BRFSS,Health Outcomes,15003010202,All teeth lost among adults aged >=65 Years,%,CrdPrv,Crude prevalence,7.5,6.2,9.1,,,7643,"(21.6251162779, -157.941809249)",HLTHOUT,TEETHLOST,15003,15003010202,Teeth Loss
2017,GA,Georgia,Sandy Springs,Census Tract,BRFSS,Unhealthy Behaviors,1368516-13121010110,Obesity among adults aged >=18 Years,%,CrdPrv,Crude prevalence,22.8,21.8,23.8,,,5022,"(33.9204281723, -84.3620299679)",UNHBEH,OBESITY,1368516,13121010110,Obesity
2016,GA,Georgia,Columbus,Census Tract,BRFSS,Health Outcomes,1319000-13215010107,All teeth lost among adults aged >=65 Years,%,CrdPrv,Crude prevalence,8.9,6.9,11.4,,,7265,"(32.5620750779, -84.7903925132)",HLTHOUT,TEETHLOST,1319000,13215010107,Teeth Loss
